OccupationCode,Occupation
0,AUCTIONEER 
1,ATTORNEY 
2,APOTHECARY 
3,BAKER 
4,ARMY OFFICER
5,BARBER 
6,BEERHOUSE KEEPER 
7,BLACKSMITH
8,BELLOWS MAKER 
9,BLOCKMAKER 
10,LIQUORS BOTTLER
11,BOATBUILDER
12,FRENCH TEACHER
14,BONNETMAKER 
13,BOOKBINDER
15,BOOKSELLER 
16,WIRE CAGE MAKER
17,BRASS FOUNDER
18,WINE MERCHANT 
19,BREECHES MAKER
21,BREWER 
23,BRICKLAYER 
25,BRICKMAKER
24,BROKER 
26,BRUSHMAKER 
28,BUCKLEMAKER
27,BUTCHER 
29,CABINET MAKER 
30,FERRY KEEPER 
31,SEA CAPTAIN
32,CARDMAKER 
33,CARPENTER 
34,SPINSTER 
37,CARVER 
38,JUDGE 
39,CAULKER 
41,CHAIRMAKER
42,NAVAL OFFICER
43,CHANDLER-TALLOW CHAND 
44,CHINA MAKER 
45,CHINA MENDER
46,BANK OFFICER 
47,CHOCOLATE GRINDER 
48,HOUSEWIFE
157,CITY OFFICIAL 
49,CLERK 
50,CLOCKMAKER
51,COACHMAKER 
53,COACHMAN 
58,COFFEEHOUSE
55,COLONIAL OFFICER 
56,COMB MAKER
62,COMMISSARY 
57,CONFECTIONER
54,CONGRESS MEMBER 
59,CONSTABLE
60,CONVEYER 
61,COOPER 
64,TEA MERCHANT
65,CORDWAINER-SHOEMAKER 
67,CORONER
66,CRYER 
68,CURRIER  
69,CUTLER 
72,DANCING MASTER 
70,DEALER
71,DISTILLER 
73,DOCTER-SURGEON
74,YEOMAN
75,DRAYMAN 
77,DRUGGIST 
79,DYER
81,ENGRAVER 
82,ESQUIRE 
83,FARMER
87,FARRIER-HORSES 
85,FIDLER 
80,FILE CUTTER 
86,FISHMONGER
84,FLATMAN 
78,FURRIER
88,GARDENER 
89,GLOVEMAKER-MUFFMAKER 
90,GENTLEMAN 
97,GLASSMAKER 
92,GLAZIER 
93,GOAL-JAIL KEEPER 
94,GOLDSMITH
91,GOVENOR 
95,GRAZIER 
96,GROCER
98,GUNSMITH 
99,HAIRDRESSER 
102,HARNESS MAKER
100,HATTER 
103,HEELMAKER 
101,HERDSMAN
104,HORSE DEALER 
105,HOSIER 
106,HOUSE CARPENTER
108,HUCKSTER 
110,INNKEEPER
111,INSTRUMENT MAKER 
109,IRONMONGER
112,JEWELER 
114,JOINER 
113,JOURNEYMAN
116,LABORER 
115,LASTMAKER
117,LIME SELLER 
118,LIMNER 
120,LOCKSMITH
121,LOOKING GLASS MAKER 
22,MANTUA MAKER
123,MANUFACTURER 
122,MARINER 
124,MASON
126,MASTMAKER 
127,MEASURER 
128,MERCHANT
130,MILKMAN 
129,MILLER 
185,MILNOR
132,MINISTER 
131,MUSICIAN 
133,NAILER
217,NEGRO 
134,NOTARY PUBLIC
136,PAINTER 
125,PAPER MAKER 
137,PAVER
135,PEDDLER 
138,PEWTERER 
140,SHIP PILOT
142,PLASTERER 
143,PLUMBER 
144,PORTER
139,POSTOFFICE EMPL 
145,POTTER
146,PRINTER 
183,UNIVERSITY PROFESSOR
141,PUMP MAKER 
149,REED MAKER 
147,RIGGER
148,ROPEMAKER 
152,SADDLETREE MAKER
153,GENTLEWOMAN
150,SADDLER 
154,SAILMAKER 
156,SAILOR
158,SAWYER 
161,SCAVENGER-CLEANER
160,SCHOOLMASTER 
162,SCRIVENER 
76,SENATOR
159,SEXTON 
164,SHALLOPMAN 
165,BANK TELLER
166,SHIPWRIGHT
167,STAINOR
168,SHIP CHANDLER
169,ACCOUNTANT
170,SHIP JOINER 
171,HOUSEKEEPER
172,SHOPKEEPER 
174,SILVERSMITH
175,SKINDRESSER 
176,SKINNER 
179,SMITH
178,SNUFFMAKER 
177,SOAPBOILER 
173,SOLDIER
181,STATIONER
180,STAYMAKER 
155,STEEL MAKER
182,STOCKING WEAVER 
184,STONE CUTTER
186,SUGAR BAKER 
187,SURVEYOR 
190,TAILOR 
151,TALLOW CHANDLER
192,TANNER 
188,TAVERNKEEPER 
163,TAXCOLLECTOR
191,THREADMAKER 
193,TIDE WAITER
194,TINKER 
195,CUSTOMSHOUSE OFFICER 
196,TINMAN 
198,TOBACCONIST
199,TOYMAKER 
201,TRADER 
200,TURNER
202,UNKNOWN 
205,UPHOLSTERER 
203,VENDUE MASTER
197,WAGGONER 
211,WAITER 
204,WATCHMAKER
206,WATCHMAN 
207,WATERMAN 
208,WEAVER
209,WHALEBONE CUTTER 
210,WHARF BUILDER
212,WHEELWRIGHT 
214,WHIPMAKER 
36,WIDOW
63,COPPERSMITH
216,WOMEN 
215,WOOD CORDER 
40,WOOLCARD MANUFACTURER
35,CARTER
213,WORKHOUSE KEEPER 
